,NUTS_ID,LEVL_CODE,CNTR_CODE,NAME_LATN,NUTS_NAME,MOUNT_TYPE,URBN_TYPE,COAST_TYPE,FID,IUID,pollutant,year,sector,emis
414,DE249,3,DE,"Hof, Landkreis","Hof, Landkreis",4.0,2,3,DE249,414,NO2,2017,ALL,21586.23376846314
417,AT311,3,AT,Innviertel,Innviertel,4.0,3,3,AT311,417,NO2,2017,ALL,
428,AT124,3,AT,Waldviertel,Waldviertel,4.0,3,3,AT124,428,NO2,2017,ALL,152739.5814833641
513,AT313,3,AT,Mühlviertel,Mühlviertel,3.0,3,3,AT313,513,NO2,2017,ALL,72728.73118638992
567,DEE08,3,DE,Burgenlandkreis,Burgenlandkreis,4.0,3,3,DEE08,567,NO2,2017,ALL,
571,CZ031,3,CZ,Jihočeský kraj,Jihočeský kraj,4.0,3,3,CZ031,571,NO2,2017,ALL,74332452.99747205
573,DED52,3,DE,Leipzig,Leipzig,4.0,1,3,DED52,573,NO2,2017,ALL,
627,DED21,3,DE,"Dresden, Kreisfreie Stadt","Dresden, Kreisfreie Stadt",4.0,1,3,DED21,627,NO2,2017,ALL,
642,DE22C,3,DE,Dingolfing-Landau,Dingolfing-Landau,4.0,3,3,DE22C,642,NO2,2017,ALL,
644,DE232,3,DE,"Regensburg, Kreisfreie Stadt","Regensburg, Kreisfreie Stadt",4.0,2,3,DE232,644,NO2,2017,ALL,
645,DE233,3,DE,"Weiden i. d. Opf, Kreisfreie Stadt","Weiden i. d. Opf, Kreisfreie Stadt",4.0,3,3,DE233,645,NO2,2017,ALL,
657,CZ071,3,CZ,Olomoucký kraj,Olomoucký kraj,2.0,2,3,CZ071,657,NO2,2017,ALL,46434773.369596474
658,CZ032,3,CZ,Plzeňský kraj,Plzeňský kraj,4.0,3,3,CZ032,658,NO2,2017,ALL,59858930.96800662
661,CZ064,3,CZ,Jihomoravský kraj,Jihomoravský kraj,4.0,2,3,CZ064,661,NO2,2017,ALL,76740575.19176197
663,DED2D,3,DE,Görlitz,Görlitz,4.0,2,3,DED2D,663,NO2,2017,ALL,83686.54366064072
665,CZ063,3,CZ,Kraj Vysočina,Kraj Vysočina,4.0,3,3,CZ063,665,NO2,2017,ALL,53184345.28075839
678,DE23A,3,DE,Tirschenreuth,Tirschenreuth,4.0,3,3,DE23A,678,NO2,2017,ALL,31600.35148954392
684,CZ041,3,CZ,Karlovarský kraj,Karlovarský kraj,3.0,2,3,CZ041,684,NO2,2017,ALL,25366405.10259056
711,DED2C,3,DE,Bautzen,Bautzen,4.0,3,3,DED2C,711,NO2,2017,ALL,28086.38594341278
745,AT126,3,AT,Wiener Umland/Nordteil,Wiener Umland/Nordteil,4.0,1,3,AT126,745,NO2,2017,ALL,
748,DE24D,3,DE,Wunsiedel i. Fichtelgebirge,Wunsiedel i. Fichtelgebirge,4.0,3,3,DE24D,748,NO2,2017,ALL,16778.46007490158
753,CZ051,3,CZ,Liberecký kraj,Liberecký kraj,3.0,2,3,CZ051,753,NO2,2017,ALL,31003371.985925674
761,DE22A,3,DE,Rottal-Inn,Rottal-Inn,4.0,3,3,DE22A,761,NO2,2017,ALL,
766,DE235,3,DE,Cham,Cham,4.0,3,3,DE235,766,NO2,2017,ALL,26852.2614312172
767,DE22B,3,DE,Straubing-Bogen,Straubing-Bogen,4.0,3,3,DE22B,767,NO2,2017,ALL,
777,DE237,3,DE,Neustadt a. d. Waldnaab,Neustadt a. d. Waldnaab,4.0,3,3,DE237,777,NO2,2017,ALL,15212.03293418884
798,AT125,3,AT,Weinviertel,Weinviertel,4.0,3,3,AT125,798,NO2,2017,ALL,111784.2727880478
801,CZ020,3,CZ,Středočeský kraj,Středočeský kraj,4.0,1,3,CZ020,801,NO2,2017,ALL,110646962.92301893
816,DE227,3,DE,"Landshut, Landkreis","Landshut, Landkreis",4.0,3,3,DE227,816,NO2,2017,ALL,
817,DE228,3,DE,"Passau, Landkreis","Passau, Landkreis",4.0,3,3,DE228,817,NO2,2017,ALL,
837,DE221,3,DE,"Landshut, Kreisfreie Stadt","Landshut, Kreisfreie Stadt",4.0,3,3,DE221,837,NO2,2017,ALL,
838,DE222,3,DE,"Passau, Kreisfreie Stadt","Passau, Kreisfreie Stadt",4.0,3,3,DE222,838,NO2,2017,ALL,
839,DE223,3,DE,"Straubing, Kreisfreie Stadt","Straubing, Kreisfreie Stadt",4.0,3,3,DE223,839,NO2,2017,ALL,
840,DE224,3,DE,Deggendorf,Deggendorf,4.0,3,3,DE224,840,NO2,2017,ALL,
841,DE225,3,DE,Freyung-Grafenau,Freyung-Grafenau,3.0,3,3,DE225,841,NO2,2017,ALL,10368.87870955467
860,DE229,3,DE,Regen,Regen,3.0,3,3,DE229,860,NO2,2017,ALL,6946.63365268707
866,CZ042,3,CZ,Ústecký kraj,Ústecký kraj,4.0,2,3,CZ042,866,NO2,2017,ALL,56990075.349612
880,DE238,3,DE,"Regensburg, Landkreis","Regensburg, Landkreis",4.0,2,3,DE238,880,NO2,2017,ALL,
881,DE239,3,DE,Schwandorf,Schwandorf,4.0,3,3,DE239,881,NO2,2017,ALL,3475.13901996613
883,CZ052,3,CZ,Královéhradecký kraj,Královéhradecký kraj,4.0,2,3,CZ052,883,NO2,2017,ALL,42503610.09592366
891,CZ010,3,CZ,Hlavní město Praha,Hlavní město Praha,4.0,1,3,CZ010,891,NO2,2017,ALL,10119194.733541489
899,DED2E,3,DE,Meißen,Meißen,4.0,2,3,DED2E,899,NO2,2017,ALL,
